duration_ms,track.explicit,key,danceability,energy,loudness,acousticness,instrumentalness,liveness,tempo,time_signature,track.popularity,track.album.release_date,track.name,artist.name
200227,FALSE,10,0.534,0.487,-11.201,0.74,0.885,0.109,112.989,4,54,2011-05-27,First Class,Henry Jackman
250635,FALSE,9,0.0872,0.203,-23.233,0.481,0.393,0.0795,175.778,3,42,2015-11-06,The Commonwealth,Inon Zur
78293,FALSE,8,0.551,0.558,-18.029,0.483,0.675,0.102,146.039,3,49,2011-01-01,"Game Of Thrones - From The ""Game Of Thrones"" Soundtrack",Ramin Djawadi
357400,FALSE,5,0.299,0.492,-13.19,0.36,0.905,0.202,84.204,4,53,2001-11-19,The Bridge of Khazad Dum,Howard Shore
254360,FALSE,2,0.44,0.433,-17.453,0.934,0.811,0.273,79.952,4,2,1999,Episode I - Duel of The Fates,"John Williams, London Symphony Orchestra, London Voices"
201702,FALSE,5,0.477,0.664,-12.756,0.27,0.808,0.119,90.045,4,42,2017-08-22,The Insurgency,Henry Jackman
215347,FALSE,2,0.449,0.663,-10.675,0.00148,0.803,0.106,82.994,4,47,2010-06-01,Extraction Point,Hans Zimmer
209907,FALSE,9,0.236,0.562,-10.732,0.604,0.945,0.161,123.624,3,0,2002,Main Title,Danny Elfman
589095,FALSE,0,0.273,0.102,-16.843,0.903,0.721,0.268,120.378,4,7,2016-06-24,Light of the Seven,Ramin Djawadi
151605,FALSE,1,0.362,0.404,-12.065,0.388,0.833,0.233,120.097,4,37,2017-05-31,Prologue,Beat Vince
142253,FALSE,9,0.13,0.0641,-21.991,0.353,0.883,0.181,65.35,3,3,2009-01-01,"Dumbledore's Farewell (""Harry Potter & The Half-Blood Prince"")",Nicholas Hooper
214573,FALSE,2,0.35,0.307,-17.469,0.633,0.613,0.102,150.223,4,49,2007-10-01,The All Spark,Steve Jablonsky
122919,FALSE,2,0.254,0.444,-14.685,0.502,0.61,0.294,104.083,4,1,2012-07-17,Why Do We Fall?,Hans Zimmer
225560,FALSE,9,0.134,0.326,-13.868,0.699,0.925,0.0744,77.914,3,49,2016-04-29,Cap's Promise,Henry Jackman
64947,FALSE,1,0.616,0.561,-12.118,0.269,0.903,0.102,107.491,4,1,2015-08-28,Main Title,"John Paesano, Braden Kimball"
297718,FALSE,10,0.0759,0.418,-12.198,0.00543,0.76,0.135,175.43,5,1,2012-12-11,An Ancient Enemy,Howard Shore
108627,FALSE,5,0.5,0.476,-16.564,0.466,0.939,0.0984,125.499,4,41,2011-01-01,Sons of Odin,Patrick Doyle
275547,FALSE,7,0.221,0.0879,-16.996,0.155,0.698,0.0869,126.622,4,69,2010-07-09,Time,Hans Zimmer
179733,FALSE,4,0.227,0.164,-18.79,0.63,0.883,0.147,125.194,4,40,2012-01-01,Arrival,Alan Silvestri
217998,FALSE,7,0.273,0.145,-21.57,0.852,0.948,0.0812,142.689,4,1,2013-12-17,Lone Survivor,Steve Jablonsky
440800,FALSE,2,0.131,0.137,-20.553,0.934,0.485,0.087,78.577,4,59,2001-11-19,"The Breaking of the Fellowship (feat. ""In Dreams"")","Howard Shore, Edward Ross"
145293,FALSE,10,0.197,0.0216,-28.927,0.816,0.929,0.105,106.059,4,52,2015-09-30,Mars,Harry Gregson-Williams
236093,FALSE,7,0.14,0.399,-13.694,0.0484,0.389,0.0722,143.661,4,49,2003-11-25,Red Warrior,Hans Zimmer
123720,FALSE,4,0.179,0.277,-14.298,0.699,0.976,0.1,75.791,4,1,2012-04-24,Leaving Earth,"Clint Mansell, EA Games Soundtrack"
161253,FALSE,2,0.306,0.454,-14.33,0.23,0.704,0.125,144.126,3,47,2014-06-10,The Children,Ramin Djawadi
142413,FALSE,0,0.388,0.254,-18.096,0.0307,0.895,0.11,111.086,4,1,2015-06-23,Arkham Knight - Main Theme,David Buckley
288053,FALSE,9,0.355,0.0748,-21.293,0.865,0.897,0.0699,131.956,4,48,2014-05-16,Hope (Xavier's Theme),"John Ottman, Jeffrey Schindler, American Federation of Musicians"
400773,FALSE,7,0.151,0.121,-21.785,0.819,0.67,0.134,104.617,4,44,2003-11-25,Idyll's End,Hans Zimmer
229107,FALSE,1,0.104,0.111,-20.031,0.979,0.926,0.11,83.933,4,58,2001-11-19,"The Council of Elrond (feat. ""Aniron) (Theme for Aragorn and Arwen "")",Howard Shore
344533,FALSE,9,0.274,0.336,-11.457,0.582,0.874,0.0873,73.681,4,1,2016-10-31,"Paint It, Black",Ramin Djawadi
177893,FALSE,6,0.0925,0.0187,-31.648,0.958,0.973,0.075,86.875,4,40,2016-04-15,The Man Village,John Debney
463707,FALSE,1,0.0993,0.0902,-26.307,0.692,0.85,0.0745,71.062,3,56,2009-12-07,"Becoming one of ""The People"" Becoming one with Neytiri",James Horner
975267,FALSE,2,0.277,0.182,-19.69,0.492,0.782,0.125,96.008,4,51,2008-07-14,A Dark Knight,"Hans Zimmer, James Newton Howard"
112710,FALSE,6,0.199,0.16,-15.826,0.925,0.948,0.137,114.581,3,42,2011-11-18,Uncharted - Drake's Fortune: Nate’s Theme,"Greg Edmonson, Andrew Skeet, London Philharmonic Orchestra"
102200,FALSE,5,0.462,0.355,-11.179,0.638,0.944,0.11,111.168,3,1,2016-10-31,Main Title Theme – Westworld,Ramin Djawadi
